account,flag,Amount_of_sent,Amount_of_received,Total_ETH_sent,Total_ETH_received,Max_ETH_sent,Min_ETH_sent,Avg_ETH_sent,Max_ETH_received,Min_ETH_received,Avg_ETH_received,Total_tokentransfer_sent,Total_tokentransfer_received,Gas_from_ac,Gas_to_ac,Gas_fee_paid,Avg_day_sent,Avg_day_received,Avg_time_sent,Avg_time_received,Unique_sent,Unique_received,Unique_sent_token,Unique_received_token
a11812,0,2,3,4.64428E+19,4.6449E+19,2.32219E+19,2.32209E+19,2.32214E+19,2.32219E+19,9.39261E+18,1.5483E+19,0,0,42000,63000,6.174E+15,44000.24098,29333.49399,0.032002315,0.02663966,2,3,0,0
a12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a13162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a30789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18877,0,29,10,1.08303E+19,8.53836E+18,1.5E+18,0,3.73459E+17,2.56132E+18,3.46216E+16,8.53836E+17,17,0,5512468,239000,5.99797E+17,44051.53673,127749.4565,2.184957695,5.769766204,13,10,11,0
a18783,0,6,2,0,2.5E+16,0,0,0,1.5E+16,1E+16,1.25E+16,6,0,710000,42000,2.83348E+16,44008.80494,132026.4148,18.20970486,38.55726852,1,2,1,0
a05883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a16949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a11183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a12319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a06130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a23203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03358,0,1,0,0,0,0,0,0,0,0,0,1,0,70202,0,2.19381E+15,43995.88735,0,0,0,1,0,1,0
a00834,1,1,0,1.64918E+19,0,1.64918E+19,1.64918E+19,1.64918E+19,0,0,0,0,0,21000,0,4.6242E+14,43974.32162,0,0,0,1,0,0,0
a12610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17547,0,6,2,1.35044E+18,1.34412E+18,1.35044E+18,0,2.25073E+17,1.32412E+18,2E+16,6.7206E+17,5,0,369080,42000,1.54717E+16,43993.39486,131980.1846,8.615108025,6.040543981,3,2,2,0
a23116,1,4,0,8.16002E+19,0,5.3063E+19,4.7815E+16,2.04E+19,0,0,0,0,0,84000,0,2.46593E+16,44025.37495,0,25.3460735,0,4,0,0,0
a23020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a25781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18008,1,0,1,0,4.12403E+15,0,0,0,4.12403E+15,4.12403E+15,4.12403E+15,0,0,0,21000,0,0,0,0,0,0,1,0,0
a10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a16565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24345,0,0,1,0,0,0,0,0,0,0,0,0,1,0,184302,0,0,0,0,0,0,1,0,1
a11572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08021,0,7,2,7.8882E+16,1E+17,7.8882E+16,0,1.12689E+16,9E+16,1E+16,5E+16,6,0,387614,42000,2.86389E+16,44040.82559,154142.8896,0.139818122,0.020630787,4,1,3,0
a25270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a20339,0,1,5,2.31671E+18,2.31908E+18,2.31671E+18,2.31671E+18,2.31671E+18,1.23561E+18,1.61663E+16,4.63816E+17,0,0,21000,105000,2.373E+15,44061.21438,8812.242875,0,0.908724537,1,4,0,0
a27512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a10175,0,0,4,0,0,0,0,0,0,0,0,0,4,0,690000,0,0,0,0,9.974157986,0,1,0,1
a03517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a14046,0,2,1,0,1E+16,0,0,0,1E+16,1E+16,1E+16,2,0,200000,100000,7.9E+15,44035.0379,88070.0758,6.00015625,0,1,1,1,0
a12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a27909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a30741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a07301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a06272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a31203,0,0,1,0,3.5E+16,0,0,0,3.5E+16,3.5E+16,3.5E+16,0,0,0,50000,0,0,0,0,0,0,1,0,0
a20033,0,9,21,1.0252E+20,1.02653E+20,3.0666E+19,2.48381E+18,1.13911E+19,2.925E+19,1E+15,4.88825E+18,0,0,378000,639000,3.18191E+16,44033.2878,18871.40906,10.74535237,4.604996142,1,4,0,0
a01650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a26300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a27620,0,1,0,0,0,0,0,0,0,0,0,1,0,100000,0,2.5E+15,44008.94668,0,0,0,1,0,1,0
a04276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a00486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a10351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a09360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a27193,0,14,2,0,1.78614E+17,0,0,0,1.10647E+17,6.7967E+16,8.9307E+16,14,0,840000,180000,9.85968E+16,44040.19244,308281.3471,3.461323578,24.70685185,1,2,1,0
a06112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18043,0,1,0,9.99868E+17,0,9.99868E+17,9.99868E+17,9.99868E+17,0,0,0,0,0,35000,0,2.0125E+14,43956.89207,0,0,0,1,0,0,0
a23087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a10733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a20292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a20776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a27641,0,1,0,1.23295E+15,0,1.23295E+15,1.23295E+15,1.23295E+15,0,0,0,0,0,21000,0,1.26E+14,43956.51288,0,0,0,1,0,0,0
a13706,0,2,0,3.17012E+16,0,3.17012E+16,0,1.58506E+16,0,0,0,1,0,81000,0,1.01211E+15,43969.70662,0,12.56105324,0,2,0,1,0
a07934,0,770,54,1.13776E+21,1.73704E+20,4E+19,0,1.47761E+18,1.72038E+19,0,3.21675E+18,415,6,123687986,1200500,6.19511E+18,43990.00335,627264.8625,0.094809133,1.334339849,106,22,74,1
a01647,0,2,2,0,3.82054E+15,0,0,0,2.26584E+15,1.55471E+15,1.91027E+15,2,0,82394,42000,4.63054E+15,44051.12394,44051.12394,0.002013889,0.002199074,1,1,1,0
a05021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a22470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19952,0,1,0,0,0,0,0,0,0,0,0,1,0,167689,0,2.17996E+15,43957.49441,0,0,0,1,0,1,0
a13312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a01123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a26176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a15053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a28085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a07869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a10397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a29909,0,22,31,1.20264E+18,1.5804E+18,9.28547E+16,4.89538E+16,5.46654E+16,9.21572E+16,4.20441E+16,5.09805E+16,0,0,3666652,1550000,1.98166E+17,43997.90383,31224.31885,4.129283986,3.92677494,1,1,0,0
a00822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24789,1,18,3,9.8E+17,1.31E+18,3.7E+17,0,5.44444E+16,1.2E+18,1E+16,4.36667E+17,13,0,9523115,75600,3.6089E+17,44024.6911,264148.1466,1.958879244,11.7448534,8,3,6,0
a24091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03064,0,2,0,1.377E+15,0,1.377E+15,0,6.885E+14,0,0,0,1,0,171000,0,2.64E+15,43973.20154,0,15.92083333,0,2,0,1,0
a09881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a07903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03336,0,4,0,4.02209E+17,0,1.40846E+17,6.1718E+16,1.00552E+17,0,0,0,0,0,84000,0,1.9614E+16,44074.2651,0,1.237867477,0,2,0,0,0
a01880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a29269,0,2,0,0,0,0,0,0,0,0,0,2,0,147330,0,9.56163E+15,44031.72081,0,20.04862269,0,2,0,2,0
a25286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a29668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a12312,0,1,2,4.44513E+18,4.5E+18,4.44513E+18,4.44513E+18,4.44513E+18,2.5E+18,2E+18,2.25E+18,0,0,42000,42000,5.88E+15,44081.21076,22040.60538,0,9.413292824,1,1,0,0
a27576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a28923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17478,0,1,1,1E+17,1.00294E+17,1E+17,1E+17,1E+17,1.00294E+17,1.00294E+17,1.00294E+17,0,0,21000,21000,2.94E+14,43956.38752,43956.38752,0,0,1,1,0,0
a21604,0,2,1,0,3.6E+15,0,0,0,3.6E+15,3.6E+15,3.6E+15,2,0,200000,21000,7.1E+15,43987.69175,87975.38351,14.93032986,0,1,1,1,0
a17731,0,7,2,3.40848E+17,5.62153E+17,1E+17,1.3E+16,4.86925E+16,4.62636E+17,9.9517E+16,2.81076E+17,0,0,3784874,138000,1.51688E+17,44008.6679,154030.3377,10.56121858,27.03975694,3,2,0,0
a16075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05897,0,15,2,0,7.453E+17,0,0,0,7.39E+17,6.3E+15,3.7265E+17,15,0,1500000,42000,7.03E+16,44036.42132,330273.1599,4.810779321,39.52203125,1,2,1,0
a18132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a31246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24341,0,15,15,2.13099E+19,2.13326E+19,1.03983E+19,6.1613E+16,1.42066E+18,1.04E+19,6.33095E+16,1.42217E+18,0,0,315000,315000,2.27007E+16,44058.09422,44058.09422,2.868399691,2.863361111,1,15,0,0
a16970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a09753,0,2,2,1.60485E+19,5.13724E+18,1.33656E+19,2.68284E+18,8.02424E+18,2.6886E+18,2.44864E+18,2.56862E+18,0,0,180000,164624,4.5E+15,43979.36354,43979.36354,11.09679977,4.438136574,1,1,0,0
a21944,0,14,8,3.30635E+18,3.07376E+18,1E+18,0,2.36168E+17,1E+18,7.9E+15,3.8422E+17,6,0,2932920,168000,1.28576E+17,44028.21704,77049.37983,1.745515046,3.066239873,7,3,3,0
a25164,0,1,0,0,0,0,0,0,0,0,0,1,0,98832,0,1.18598E+15,43955.74087,0,0,0,1,0,1,0
a12560,0,6,5,1.13303E+19,1.13963E+19,2.98057E+18,1.13075E+14,1.88838E+18,3E+18,1.98952E+18,2.27925E+18,0,0,126000,184000,6.57959E+16,44055.60675,52866.7281,20.68531057,3.369550926,1,2,0,0
a03962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a00221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a21949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a01413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a10059,0,34,12,1.31898E+19,1.23427E+19,3.51396E+18,0,3.87936E+17,3.47327E+18,0,1.02856E+18,25,3,3577532,252000,1.25006E+17,44004.67076,124679.9005,1.792201117,5.086284722,4,10,3,1
a13290,0,4,20,7.16E+18,5.82069E+18,2.55E+18,0,1.79E+18,4.9E+17,1.418E+17,2.91035E+17,1,0,123000,459000,2.4771E+15,43986.84397,8797.368794,15.94823495,3.237991898,2,4,1,0
a19606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a13825,0,5,0,7.74611E+18,0,7.74611E+18,0,1.54922E+18,0,0,0,4,0,791923,0,2.56072E+16,43982.68379,0,7.211949074,0,4,0,3,0
a23138,0,9,9,7.13E+17,6.52E+17,1.73E+17,1E+16,7.92222E+16,2.44E+17,7E+15,7.24444E+16,0,0,1017183,189000,9.43367E+16,44052.07313,44052.07313,2.880478395,2.690100309,7,8,0,0
a31323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08833,1,3,3,6.83832E+18,6.84269E+18,6.8E+18,0,2.27944E+18,3.0689E+18,7.7379E+17,2.2809E+18,1,0,143111,63000,9.1591E+15,44051.19397,44051.19397,0.00126929,0.071458333,3,3,1,0
a03154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a16636,0,80,4,6.52E+18,4.4E+18,4E+18,0,8.15E+16,4E+18,1E+17,1.1E+18,68,0,9173569,84000,3.55958E+17,43996.0239,879920.478,1.249704427,23.94837384,6,4,3,0
a02200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a15903,0,286,34,5.31229E+20,2.83202E+20,2E+19,0,1.85744E+18,2.29073E+19,1.00099E+18,8.32947E+18,156,0,40803051,2141000,1.1235E+19,44067.74489,370687.5012,0.233964444,1.785308415,74,11,69,0
a08269,0,1,0,0,0,0,0,0,0,0,0,1,0,63022,0,4.41154E+14,43956.73958,0,0,0,1,0,1,0
a30644,0,1,1,0,9.6E+15,0,0,0,9.6E+15,9.6E+15,9.6E+15,1,0,200000,21000,9.6E+15,44030.42663,44030.42663,0,0,1,1,1,0
a29701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a29423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a02241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a15706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a09619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a09457,0,7,10,2.35013E+21,2.35016E+21,6.49999E+20,1.58769E+17,3.35733E+20,6.5E+20,1.59843E+17,2.35016E+20,0,0,245000,210000,3.1513E+16,44010.35501,30807.2485,16.70952381,11.69667708,1,1,0,0
a00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18042,0,2,0,1.04055E+17,0,1.02E+17,2.055E+15,5.20275E+16,0,0,0,0,0,42000,0,9.45E+14,43969.02177,0,12.46358796,0,2,0,0,0
a21469,0,3,1,0,1.15998E+17,0,0,0,1.15998E+17,1.15998E+17,1.15998E+17,3,0,180000,90000,5.28E+15,43988.8247,131966.4741,21.32039352,0,1,1,1,0
a02042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a28139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a25325,0,0,1,0,2.83E+17,0,0,0,2.83E+17,2.83E+17,2.83E+17,0,0,0,60000,0,0,0,0,0,0,1,0,0
a14575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a20761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a06023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a13720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a26155,0,11,151,2.1296E+20,1.30098E+20,5.9E+19,1E+18,1.936E+19,1.68583E+18,7.36058E+16,8.61579E+17,0,0,277200,15100000,1.93486E+16,44014.45871,3206.351297,8.253472222,0.840246811,2,1,0,0
a28396,1,0,8,0,7.54815E+19,0,0,0,3.64671E+19,8.28753E+13,9.43518E+18,0,0,0,237000,0,0,0,0,0.045390625,0,8,0,0
a28409,0,1,2,0,4E+15,0,0,0,2E+15,2E+15,2E+15,1,0,90000,42000,3.78E+15,43971.58125,21985.79063,0,0.001174769,1,1,1,0
a28828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a23403,0,8,14,3.87811E+19,4.14377E+19,7.70465E+18,0,4.84763E+18,6.7E+18,0,2.95983E+18,1,1,376442,295000,8.7299E+16,44069.27673,25182.44384,3.338184317,1.814668485,2,3,1,1
a28442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a23878,0,4,1,2.33E+13,4.32E+15,2.33E+13,0,5.825E+12,4.32E+15,4.32E+15,4.32E+15,3,0,185000,21000,6.137E+15,44033.93441,176135.7377,5.864470486,0,2,1,1,0
a29347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a05188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a30287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a21578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a21771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a23931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a25498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a13746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a12996,0,1,0,4.71088E+15,0,4.71088E+15,4.71088E+15,4.71088E+15,0,0,0,0,0,21000,0,3.234E+14,43956.6616,0,0,0,1,0,0,0
a00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
